"","Posted.On","BHK","Size","Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact","rownum"
"2118","2022-05-05",1,400,"2 out of 4","Super Area","C V Raman Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",189
"2130","2022-05-05",3,1200,"Ground out of 2","Super Area","Basaveshwar Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",190
"2131","2022-07-05",1,800,"1 out of 1","Super Area","Ramamurthy Nagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",191
"2166","2022-06-16",3,1430,"2 out of 3","Super Area","Jp Nagar Phase 7, J P Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",192
"2169","2022-04-29",2,1100,"Ground out of 2","Super Area","Konanakunte","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",193
"2178","2022-04-30",2,850,"Ground out of 2","Super Area","Choodasandra","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",194
"2191","2022-05-10",2,1600,"Ground out of 2","Super Area","Kodigehalli","Bangalore","Furnished","Bachelors/Family",3,"Contact Owner",195
"2204","2022-07-06",2,1080,"Ground out of 2","Carpet Area","Bda Layout -Lingarajapuram","Bangalore","Semi-Furnished","Family",2,"Contact Owner",196
"2229","2022-06-10",1,400,"2 out of 3","Super Area","Nagarbhavi","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",197
"2231","2022-06-15",2,800,"1 out of 4","Super Area","Kengeri Hobli","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",198
"2237","2022-06-18",4,4550,"3 out of 5","Super Area","Jakkur Plantation, Jakkuru, Bellary Road","Bangalore","Semi-Furnished","Family",5,"Contact Agent",199
"2259","2022-05-14",2,1000,"1 out of 4","Carpet Area","Hosur Road","Bangalore","Semi-Furnished","Bachelors",2,"Contact Owner",200
"2270","2022-07-04",2,600,"Ground out of 2","Super Area","K R Puram","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",201
"2281","2022-05-23",3,1660,"1 out of 3","Carpet Area","Doddathoguru, Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",202
"2284","2022-05-26",1,300,"1 out of 2","Carpet Area","Cooke Town, Cooke Town","Bangalore","Unfurnished","Bachelors",1,"Contact Owner",203
"2290","2022-05-26",1,700,"7 out of 7","Carpet Area","Domlur, Domlur","Bangalore","Furnished","Bachelors/Family",1,"Contact Agent",204
"2298","2022-05-23",1,350,"2 out of 3","Super Area","Btm Layout","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",205
"2303","2022-06-29",1,700,"1 out of 5","Super Area","Gh society","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",206
"2314","2022-06-23",1,600,"3 out of 4","Super Area","Hbr Layout","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner",207
"2319","2022-05-18",2,1150,"1 out of 4","Carpet Area","Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",208
"2325","2022-05-31",2,625,"1 out of 3","Carpet Area","Kadabagere","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",209
"2346","2022-07-04",1,600,"4 out of 5","Carpet Area","Mahadevapura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent",210
"2368","2022-07-06",3,1460,"6 out of 12","Carpet Area","Jakkur","Bangalore","Unfurnished","Bachelors",3,"Contact Agent",211
"2377","2022-05-10",2,1800,"1 out of 3","Super Area","Hebbal Kempapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",212
"2398","2022-06-05",2,450,"1 out of 4","Carpet Area","Uttam Nagar","Delhi","Unfurnished","Bachelors",1,"Contact Owner",213
"2405","2022-06-27",2,100,"3 out of 3","Super Area","Rohini Sector 24","Delhi","Unfurnished","Bachelors",2,"Contact Owner",214
"2422","2022-05-31",3,1670,"3 out of 4","Super Area","Model Town","Delhi","Semi-Furnished","Bachelors/Family",3,"Contact Owner",215
"2424","2022-05-18",1,350,"4 out of 4","Carpet Area","Chhattarpur","Delhi","Semi-Furnished","Bachelors",1,"Contact Agent",216
"2429","2022-05-10",2,60,"2 out of 2","Super Area","Najafgarh","Delhi","Unfurnished","Bachelors/Family",1,"Contact Owner",217
"2440","2022-06-21",3,1250,"2 out of 4","Carpet Area","Chittaranjan Park Block B","Delhi","Semi-Furnished","Bachelors/Family",3,"Contact Agent",218
"2455","2022-05-27",2,145,"1 out of 3","Super Area","Palam","Delhi","Unfurnished","Bachelors/Family",2,"Contact Owner",219
"2459","2022-06-28",2,300,"3 out of 4","Carpet Area","Jhangir Puri","Delhi","Unfurnished","Bachelors/Family",1,"Contact Owner",220
"2466","2022-07-02",1,550,"3 out of 4","Carpet Area","Lajpat Nagar 4","Delhi","Semi-Furnished","Bachelors",1,"Contact Agent",221
"2481","2022-04-29",2,600,"2 out of 3","Carpet Area","Aya Nagar","Delhi","Semi-Furnished","Bachelors",2,"Contact Owner",222
"2486","2022-06-12",1,200,"3 out of 4","Carpet Area","kst chattarpur Apartments","Delhi","Unfurnished","Bachelors",1,"Contact Agent",223
"2490","2022-05-10",1,530,"Ground out of 3","Super Area","Palam Colony, Palam","Delhi","Unfurnished","Bachelors/Family",1,"Contact Owner",224
"2494","2022-05-10",1,450,"1 out of 4","Super Area","Mehrauli","Delhi","Unfurnished","Bachelors/Family",1,"Contact Owner",225
"2509","2022-06-17",1,200,"3 out of 3","Super Area","Kamla Nagar","Delhi","Furnished","Bachelors/Family",1,"Contact Owner",226
"2512","2022-05-10",2,900,"2 out of 4","Super Area","Lajpat Nagar","Delhi","Unfurnished","Family",2,"Contact Owner",227
"2516","2022-06-04",1,400,"2 out of 4","Carpet Area","Lajpat Nagar 4","Delhi","Unfurnished","Bachelors/Family",1,"Contact Agent",228
"2531","2022-05-10",1,500,"Ground out of 3","Super Area","Dwarka Sector 23","Delhi","Semi-Furnished","Bachelors/Family",1,"Contact Owner",229
"2557","2022-05-27",2,100,"Ground out of 3","Super Area","Rohini Sector 38","Delhi","Unfurnished","Bachelors/Family",2,"Contact Owner",230
"2579","2022-05-01",2,75,"1 out of 3","Super Area","Green Park","Delhi","Unfurnished","Bachelors/Family",2,"Contact Owner",231
"2582","2022-05-27",1,200,"2 out of 4","Carpet Area","kst chattarpur Apartments","Delhi","Unfurnished","Bachelors",1,"Contact Agent",232
"2611","2022-06-18",3,2200,"Ground out of 2","Carpet Area","Vivek Vihar","Delhi","Semi-Furnished","Bachelors/Family",2,"Contact Agent",233
"2612","2022-06-18",3,900,"3 out of 4","Carpet Area","Surajmal Vihar","Delhi","Semi-Furnished","Bachelors/Family",2,"Contact Agent",234
"2615","2022-06-18",3,1800,"3 out of 4","Carpet Area","Gagan Vihar, Krishna Nagar","Delhi","Semi-Furnished","Bachelors/Family",3,"Contact Agent",235
"2627","2022-04-29",2,100,"3 out of 4","Super Area","Janakpuri","Delhi","Unfurnished","Bachelors/Family",1,"Contact Owner",236
"2642","2022-04-29",3,950,"Ground out of 3","Super Area","Rohini Sector 4","Delhi","Unfurnished","Bachelors/Family",2,"Contact Owner",237
"2655","2022-04-29",1,450,"1 out of 3","Super Area","DS 19","Delhi","Unfurnished","Family",1,"Contact Owner",238
"2659","2022-07-02",4,272,"Ground out of 4","Carpet Area","Model Town","Delhi","Furnished","Bachelors",3,"Contact Agent",239
"2661","2022-05-27",2,50,"2 out of 4","Super Area","Nirankari Colony, Mukherjee Nagar","Delhi","Unfurnished","Bachelors/Family",2,"Contact Owner",240
"2665","2022-06-18",3,1800,"2 out of 4","Carpet Area","Saini Enclave, Anand Vihar","Delhi","Semi-Furnished","Bachelors/Family",3,"Contact Agent",241
"2666","2022-06-18",3,2000,"1 out of 4","Carpet Area","Vivek Vihar Phase 1","Delhi","Semi-Furnished","Bachelors/Family",3,"Contact Agent",242
"2668","2022-07-04",4,2700,"2 out of 3","Carpet Area","AGCR Enclave, Anand Vihar","Delhi","Semi-Furnished","Bachelors/Family",3,"Contact Agent",243
"2683","2022-06-18",3,1800,"2 out of 4","Carpet Area","Saini Enclave, Anand Vihar","Delhi","Semi-Furnished","Bachelors/Family",3,"Contact Agent",244
"2686","2022-05-05",2,80,"1 out of 4","Super Area","Mayur Vihar Phase 1 Extension","Delhi","Semi-Furnished","Bachelors/Family",2,"Contact Owner",245
"2696","2022-05-27",3,1800,"2 out of 4","Carpet Area","Saket","Delhi","Semi-Furnished","Bachelors",3,"Contact Agent",246
"2699","2022-06-30",2,1400,"3 out of 4","Super Area","Dilshad Garden","Delhi","Unfurnished","Bachelors",1,"Contact Owner",247
"2701","2022-05-16",1,650,"1 out of 4","Carpet Area","Mayur Vihar 1","Delhi","Semi-Furnished","Bachelors/Family",1,"Contact Agent",248
"2708","2022-05-11",3,1600,"Ground out of 4","Carpet Area","East Of Kailash","Delhi","Furnished","Bachelors/Family",2,"Contact Agent",249
"2727","2022-05-14",3,96,"2 out of 5","Super Area","Rohini Sector 11","Delhi","Unfurnished","Bachelors/Family",2,"Contact Owner",250
"2785","2022-05-27",2,75,"1 out of 1","Carpet Area","Najafgarh","Delhi","Unfurnished","Bachelors/Family",1,"Contact Owner",251
"2787","2022-05-19",2,900,"2 out of 4","Carpet Area","Malviya Nagar","Delhi","Semi-Furnished","Bachelors",2,"Contact Agent",252
"2817","2022-05-10",2,900,"3 out of 4","Super Area","Surya Apartment pocket a11","Delhi","Unfurnished","Bachelors",2,"Contact Owner",253
"2827","2022-05-14",3,1600,"3 out of 4","Super Area","Greater Kailash","Delhi","Semi-Furnished","Bachelors/Family",3,"Contact Owner",254
"2836","2022-04-29",3,120,"4 out of 5","Super Area","Bhalswa","Delhi","Furnished","Bachelors/Family",3,"Contact Owner",255
"2837","2022-06-20",1,650,"2 out of 4","Carpet Area","Saket","Delhi","Furnished","Bachelors",1,"Contact Agent",256
"2838","2022-05-14",2,400,"2 out of 4","Carpet Area","kst chattarpur Apartments","Delhi","Unfurnished","Bachelors",1,"Contact Agent",257
"2864","2022-04-29",2,50,"1 out of 2","Super Area","Dwarka Sector 8","Delhi","Unfurnished","Bachelors/Family",1,"Contact Owner",258
"2865","2022-05-24",4,400,"Ground out of 4","Carpet Area","Sarvodaya Enclave","Delhi","Unfurnished","Bachelors/Family",4,"Contact Agent",259
"2878","2022-06-30",2,100,"2 out of 4","Carpet Area","Shalimar bagh","Delhi","Semi-Furnished","Bachelors/Family",2,"Contact Agent",260
"2892","2022-07-02",2,900,"Ground out of 4","Carpet Area","Hari Nagar","Delhi","Semi-Furnished","Bachelors/Family",1,"Contact Owner",261
"2908","2022-06-24",1,450,"3 out of 4","Super Area","Manak Vihar, Anand Vihar","Delhi","Semi-Furnished","Bachelors",1,"Contact Owner",262
"2916","2022-07-04",2,1800,"1 out of 2","Carpet Area","Naveen Shahdara, Shahdara","Delhi","Unfurnished","Bachelors",1,"Contact Owner",263
"2930","2022-05-31",1,500,"2 out of 3","Super Area","Kalkaji","Delhi","Semi-Furnished","Bachelors/Family",1,"Contact Owner",264
"2937","2022-06-06",1,50,"3 out of 4","Carpet Area","Mahavir Enclave Part 3","Delhi","Semi-Furnished","Bachelors",1,"Contact Owner",265
"2948","2022-07-09",3,1200,"2 out of 4","Carpet Area","Patparganj","Delhi","Semi-Furnished","Bachelors",2,"Contact Agent",266
"2955","2022-07-04",1,300,"Ground out of 4","Carpet Area","Laxmi Nagar","Delhi","Semi-Furnished","Bachelors/Family",1,"Contact Agent",267
"2973","2022-06-08",3,900,"1 out of 3","Super Area","Narela","Delhi","Furnished","Bachelors/Family",3,"Contact Owner",268
"2979","2022-05-21",1,100,"1 out of 1","Super Area","Shiva Enclave, Paschim Vihar","Delhi","Furnished","Bachelors/Family",1,"Contact Owner",269
"2983","2022-06-13",2,1200,"3 out of 4","Super Area","Pitampura","Delhi","Semi-Furnished","Bachelors/Family",2,"Contact Owner",270
"2994","2022-06-14",2,700,"1 out of 3","Super Area","Anakaputhur","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",271
"3021","2022-06-28",2,700,"3 out of 4","Super Area","T Nagar","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",272
"3032","2022-05-12",1,250,"Ground out of 5","Super Area","Adambakkam","Chennai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",273
"3037","2022-05-16",1,500,"Ground out of 2","Super Area","Arumbakkam","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",274
"3060","2022-07-06",2,875,"2 out of 2","Super Area","Madipakkam","Chennai","Semi-Furnished","Bachelors",2,"Contact Owner",275
"3072","2022-05-20",2,600,"1 out of 2","Super Area","Abiramapuram","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",276
"3074","2022-07-08",3,1600,"1 out of 2","Super Area","Raja Annamalai Puram","Chennai","Semi-Furnished","Bachelors/Family",3,"Contact Owner",277
"3097","2022-07-08",3,1800,"1 out of 2","Carpet Area","Villivakkam, Jawaharlal Nehru Road","Chennai","Semi-Furnished","Bachelors",3,"Contact Owner",278
"3108","2022-06-22",3,900,"1 out of 4","Super Area","Perambur","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",279
"3111","2022-06-27",3,1600,"Ground out of 2","Carpet Area","Mathur","Chennai","Furnished","Bachelors/Family",3,"Contact Owner",280
"3113","2022-07-05",3,1600,"2 out of 3","Carpet Area","Adyar, Sardar Patel Road","Chennai","Semi-Furnished","Bachelors",3,"Contact Agent",281
"3120","2022-06-14",1,500,"Ground out of 3","Super Area","KK Nagar","Chennai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",282
"3123","2022-07-10",3,1700,"7 out of 15","Carpet Area","Sholinganallur","Chennai","Furnished","Bachelors",3,"Contact Agent",283
"3128","2022-07-10",2,1200,"2 out of 2","Carpet Area","Anna Nagar West","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",284
"3133","2022-06-14",3,2300,"2 out of 4","Carpet Area","Gopalapuram","Chennai","Semi-Furnished","Bachelors",3,"Contact Agent",285
"3145","2022-07-05",2,910,"Ground out of 1","Super Area","Mannivakkam","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",286
"3158","2022-06-22",2,805,"1 out of 3","Super Area","Gopalapuram","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",287
"3170","2022-07-04",2,1100,"Ground out of 1","Carpet Area","New Perungalathur","Chennai","Semi-Furnished","Family",1,"Contact Owner",288
"3171","2022-05-12",2,800,"1 out of 3","Super Area","Thiruvanmiyur","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",289
"3175","2022-06-10",2,600,"1 out of 2","Super Area","Vandalur","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",290
"3178","2022-07-06",2,1100,"17 out of 20","Carpet Area","Old Mahabalipuram Road","Chennai","Semi-Furnished","Family",2,"Contact Agent",291
"3188","2022-06-29",2,800,"2 out of 2","Super Area","Chitlapakkam","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",292
"3189","2022-06-29",2,570,"Ground out of 2","Carpet Area","Perungalathur, Chennai Bypass Road","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",293
"3190","2022-05-20",2,1150,"2 out of 4","Super Area","Raja Annamalai Puram","Chennai","Furnished","Bachelors/Family",2,"Contact Owner",294
"3202","2022-06-29",2,1500,"Ground out of 1","Super Area","Porur","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",295
"3203","2022-06-29",2,900,"1 out of 2","Super Area","Velachery","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",296
"3212","2022-06-13",2,1000,"2 out of 2","Super Area","Maduravoyal","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",297
"3233","2022-06-29",1,1300,"Ground out of 2","Super Area","Anna Nagar","Chennai","Furnished","Bachelors",2,"Contact Owner",298
"3245","2022-05-23",1,450,"2 out of 3","Carpet Area","Mahindra World City","Chennai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",299
"3251","2022-06-22",3,1725,"10 out of 14","Super Area","MRC Nagar","Chennai","Furnished","Bachelors/Family",2,"Contact Agent",300
"3265","2022-07-04",3,1650,"1 out of 1","Carpet Area","Madipakkam","Chennai","Semi-Furnished","Bachelors",3,"Contact Owner",301
"3278","2022-05-20",2,800,"1 out of 3","Super Area","Adambakkam","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",302
"3281","2022-06-29",2,1000,"Ground out of 3","Super Area","Medavakkam","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",303
"3282","2022-06-25",2,1000,"1 out of 3","Super Area","Adyar, Sardar Patel Road","Chennai","Furnished","Bachelors",2,"Contact Agent",304
"3285","2022-06-29",2,1100,"1 out of 2","Carpet Area","Gopalapuram","Chennai","Unfurnished","Bachelors",2,"Contact Agent",305
"3305","2022-07-08",2,800,"Ground out of 1","Carpet Area","Medavakkam","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",306
"3307","2022-07-06",3,1225,"9 out of 18","Carpet Area","Koyambedu","Chennai","Semi-Furnished","Bachelors/Family",3,"Contact Agent",307
"3310","2022-05-30",2,850,"2 out of 2","Super Area","Anakaputhur","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",308
"3323","2022-07-06",3,1450,"1 out of 4","Carpet Area","Mylapore","Chennai","Unfurnished","Bachelors",2,"Contact Agent",309
"3333","2022-07-06",2,1200,"3 out of 4","Carpet Area","Kasi Estate","Chennai","Unfurnished","Bachelors/Family",2,"Contact Agent",310
"3345","2022-06-16",2,1050,"4 out of 4","Super Area","Baby Nagar Extention, Velachery","Chennai","Semi-Furnished","Family",2,"Contact Agent",311
"3350","2022-07-10",3,1600,"15 out of 16","Carpet Area","Iyyappanthangal","Chennai","Semi-Furnished","Bachelors/Family",3,"Contact Agent",312
"3357","2022-06-14",1,700,"Ground out of 2","Super Area","Thiruverkkadu","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",313
"3365","2022-07-06",1,250,"2 out of 3","Super Area","Neelankarai, E Coast Road","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",314
"3369","2022-05-19",2,700,"Ground out of 2","Carpet Area","Kelambakkam, Old Mahabalipuram Road","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",315
"3373","2022-06-29",2,850,"1 out of 2","Carpet Area","Sembakkam","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",316
"3382","2022-06-01",3,1530,"9 out of 13","Carpet Area","Padur, Old Mahabalipuram Road","Chennai","Semi-Furnished","Bachelors/Family",3,"Contact Owner",317
"3384","2022-07-02",3,1095,"2 out of 2","Super Area","Madambakkam","Chennai","Furnished","Bachelors/Family",2,"Contact Owner",318
"3385","2022-07-06",2,780,"5 out of 14","Carpet Area","Kalavakkam","Chennai","Unfurnished","Family",2,"Contact Owner",319
"3397","2022-06-29",2,1000,"1 out of 3","Super Area","Varadharajapuram","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",320
"3437","2022-07-10",2,1140,"2 out of 16","Carpet Area","Iyyappanthangal","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",321
"3441","2022-06-18",2,1100,"Ground out of 3","Super Area","Purasawalkam, PH Road","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",322
"3448","2022-05-27",2,900,"1 out of 1","Carpet Area","Ambattur","Chennai","Unfurnished","Bachelors",2,"Contact Owner",323
"3456","2022-07-06",1,500,"7 out of 11","Carpet Area","Pallavaram","Chennai","Furnished","Bachelors/Family",1,"Contact Agent",324
"3490","2022-05-20",1,550,"2 out of 3","Super Area","Guindy","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",325
"3497","2022-06-10",3,1200,"1 out of 3","Super Area","Velachery","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",326
"3505","2022-07-10",4,2880,"9 out of 19","Super Area","Thoraipakkam","Chennai","Semi-Furnished","Bachelors",3,"Contact Agent",327
"3508","2022-05-06",2,1100,"Ground out of 2","Super Area","Madipakkam","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",328
"3510","2022-06-08",3,1975,"12 out of 18","Super Area","Egmore, PH Road","Chennai","Semi-Furnished","Family",3,"Contact Agent",329
"3514","2022-05-06",3,1170,"Ground out of 3","Super Area","Teynampet","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",330
"3518","2022-05-06",1,500,"Ground out of 3","Super Area","Thiruverkkadu","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",331
"3531","2022-05-06",3,1000,"Ground out of 2","Super Area","Egmore, PH Road","Chennai","Semi-Furnished","Bachelors/Family",3,"Contact Owner",332
"3534","2022-05-06",2,966,"1 out of 3","Super Area","Kolathur","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",333
"3544","2022-05-25",2,700,"Ground out of 3","Super Area","Ashok Nagar","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",334
"3552","2022-05-25",2,1000,"1 out of 5","Super Area","Mogappair East","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",335
"3568","2022-05-19",3,1570,"Ground out of 2","Super Area","Selaiyur","Chennai","Semi-Furnished","Bachelors/Family",3,"Contact Owner",336
"3582","2022-06-18",3,2792,"5 out of 9","Super Area","Kellys","Chennai","Furnished","Bachelors/Family",5,"Contact Owner",337
"3588","2022-07-06",1,500,"1 out of 2","Super Area","Anna Nagar","Chennai","Furnished","Bachelors/Family",1,"Contact Owner",338
"3599","2022-06-13",2,850,"1 out of 1","Super Area","Padapai","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",339
"3602","2022-06-23",1,1900,"3 out of 4","Carpet Area","Kailasapuram-Mylapore","Chennai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",340
"3608","2022-07-10",1,550,"9 out of 15","Carpet Area","Iyyappanthangal","Chennai","Semi-Furnished","Bachelors/Family",1,"Contact Agent",341
"3618","2022-06-22",1,400,"2 out of 3","Super Area","Rani Anna Nagar","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",342
"3646","2022-05-26",1,502,"1 out of 1","Super Area","T Nagar","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",343
"3653","2022-05-20",2,950,"1 out of 2","Super Area","Neelankarai, E Coast Road","Chennai","Semi-Furnished","Family",1,"Contact Owner",344
"3656","2022-05-29",2,1000,"3 out of 5","Super Area","Thalambur","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",345
"3662","2022-06-06",1,400,"Ground out of 2","Super Area","Nanmangalam","Chennai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",346
"3672","2022-06-03",1,450,"3 out of 4","Carpet Area","Kodambakkam","Chennai","Unfurnished","Bachelors",1,"Contact Owner",347
"3677","2022-07-06",2,750,"1 out of 5","Carpet Area","Velachery","Chennai","Furnished","Family",2,"Contact Owner",348
"3681","2022-06-18",2,700,"1 out of 3","Carpet Area","Tiruvottiyur","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",349
"3695","2022-06-23",2,920,"Ground out of 1","Super Area","Ullagaram, Pallavaram-Thuraipakkam Road","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",350
"3703","2022-06-14",4,2240,"Ground out of 3","Carpet Area","Anna Nagar","Chennai","Furnished","Bachelors/Family",4,"Contact Agent",351
"3704","2022-05-25",1,500,"Ground out of 2","Super Area","Kovur","Chennai","Unfurnished","Bachelors/Family",1,"Contact Owner",352
"3708","2022-05-30",2,1424,"2 out of 2","Super Area","kumari neo town","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",353
"3714","2022-05-30",1,595,"1 out of 1","Super Area","Vengaivasal, Medavakkam","Chennai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",354
"3720","2022-06-06",3,1100,"Ground out of 2","Super Area","Porur","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",355
"3723","2022-05-20",2,800,"2 out of 4","Super Area","Mambalam West","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",356
"3726","2022-05-01",2,650,"1 out of 2","Carpet Area","Pallikaranai","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",357
"3744","2022-07-10",3,1200,"2 out of 5","Carpet Area","Madambakkam","Chennai","Unfurnished","Bachelors/Family",2,"Contact Agent",358
"3749","2022-05-25",2,950,"Ground out of 3","Super Area","Iyyappanthangal","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",359
"3750","2022-05-19",3,1610,"3 out of 14","Super Area","Vadapalani","Chennai","Semi-Furnished","Family",3,"Contact Agent",360
"3772","2022-05-17",2,1000,"2 out of 4","Carpet Area","T Nagar","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",361
"3776","2022-05-01",2,700,"Ground out of 2","Super Area","Paddy field street,Perambur","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",362
"3787","2022-06-22",2,1200,"2 out of 2","Carpet Area","Cmbt","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",363
"3788","2022-05-19",3,1152,"10 out of 14","Carpet Area","Vadapalani","Chennai","Semi-Furnished","Family",3,"Contact Agent",364
"3804","2022-06-22",2,1000,"1 out of 3","Super Area","Sholinganallur","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",365
"3815","2022-06-29",2,650,"2 out of 3","Super Area","Arcot Road Virugambakkam","Chennai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",366
"3817","2022-06-10",2,900,"3 out of 5","Carpet Area","besant nagar Chennai","Chennai","Unfurnished","Bachelors",2,"Contact Owner",367
"3823","2022-06-02",1,400,"1 out of 3","Super Area","Injambakkam","Chennai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",368
"3834","2022-05-27",3,1383,"2 out of 4","Super Area","Perungalathur, Chennai Bypass Road","Chennai","Semi-Furnished","Bachelors",3,"Contact Owner",369
"3835","2022-06-04",2,800,"Ground out of 1","Carpet Area","Guduvancheri","Chennai","Semi-Furnished","Bachelors",2,"Contact Owner",370
"3849","2022-06-10",3,1500,"2 out of 4","Carpet Area","Perungudi","Chennai","Unfurnished","Bachelors",3,"Contact Agent",371
"3859","2022-05-16",2,400,"1 out of 3","Super Area","Periyamet","Chennai","Unfurnished","Bachelors/Family",2,"Contact Owner",372
"3866","2022-05-12",2,850,"Ground out of 4","Super Area","Velachery","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",373
"3872","2022-07-02",2,1250,"3 out of 7","Super Area","Nungambakkam","Chennai","Furnished","Bachelors/Family",2,"Contact Owner",374
"3873","2022-05-16",2,1000,"Ground out of 2","Super Area","Velachery","Chennai","Unfurnished","Family",2,"Contact Owner",375
"3882","2022-07-10",3,3200,"1 out of 5","Carpet Area","Himayath Nagar, NH 7","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Agent",376
"3902","2022-05-12",3,1200,"2 out of 4","Super Area","Abids, NH 7","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Owner",377
"3903","2022-06-03",3,1350,"3 out of 4","Carpet Area","Gayatri Hills, Jubilee Hills","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",378
"3910","2022-07-05",3,1500,"1 out of 1","Super Area","Alkapur Township, Manikonda, Outer Ring Road","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Owner",379
"3912","2022-05-06",2,990,"Ground out of 1","Super Area","Boduppal, NH 2 2","Hyderabad","Unfurnished","Bachelors",2,"Contact Owner",380
"3914","2022-06-22",2,1200,"2 out of 4","Super Area","Bandlaguda Jagir","Hyderabad","Unfurnished","Bachelors/Family",2,"Contact Owner",381
