"","Posted.On","BHK","Rent","Size","Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact"
"1286","2022-07-06",1,25000,444,"7 out of 17","Carpet Area","Srishti Solitaire, Bhandup Industrial Estate","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1287","2022-06-04",1,21000,428,"12 out of 21","Carpet Area","Godrej Tranquil, Lokhandwala Twp","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent"
"1288","2022-06-27",5,360000,1880,"11 out of 27","Carpet Area","Runwal Elegante, Andheri West","Mumbai","Furnished","Family",4,"Contact Agent"
"1291","2022-06-16",3,140000,937,"28 out of 39","Carpet Area","Sheth Beaumonte, Sion Koliwada","Mumbai","Unfurnished","Family",4,"Contact Agent"
"1292","2022-05-13",2,30000,710,"12 out of 21","Carpet Area","Gokul Gagan, Thakur Village, Kandivali East","Mumbai","Unfurnished","Family",2,"Contact Agent"
"1293","2022-05-18",4,130000,1617,"15 out of 58","Carpet Area","Auris Serenity, Kanch Pada","Mumbai","Semi-Furnished","Bachelors/Family",5,"Contact Agent"
"1294","2022-05-24",2,80000,836,"6 out of 23","Carpet Area","TATA Falcon Crest, Parel","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1295","2022-07-06",2,85000,1200,"36 out of 45","Carpet Area","Crescent Bay T3, Bhoiwada","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1296","2022-07-07",2,65000,950,"9 out of 28","Carpet Area","Vishnu Shivam Tower, Thakur Village, Kandivali East","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1297","2022-07-09",1,33000,460,"10 out of 25","Carpet Area","Conwood Astoria, Goregaon East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1298","2022-07-09",1,36000,585,"10 out of 14","Super Area","Odyssey Bhakti Park, Bhakti Park","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1299","2022-06-12",2,22000,550,"2 out of 7","Carpet Area","Salasar Garden, Beverly Park","Mumbai","Furnished","Family",2,"Contact Agent"
"1300","2022-06-16",1,17000,375,"9 out of 20","Carpet Area","Royal Palms Diamond Isle Phase II, Aarey Milk Colony","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent"
"1301","2022-06-03",2,55000,700,"10 out of 20","Carpet Area","Raj Legacy, Vikhroli West","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1302","2022-07-09",2,66000,750,"2 out of 8","Carpet Area","Sundar Nagar, Kalina","Mumbai","Unfurnished","Family",2,"Contact Agent"
"1303","2022-07-09",4,140000,2000,"6 out of 45","Carpet Area","DB Woods, Gokuldham","Mumbai","Furnished","Family",4,"Contact Agent"
"1304","2022-07-06",4,260000,2046,"22 out of 52","Carpet Area","Oberoi Esquire, Goregaon East","Mumbai","Semi-Furnished","Bachelors/Family",5,"Contact Agent"
"1305","2022-06-28",2,32000,750,"3 out of 7","Super Area","Shree Sai Usha Complex, Bhandup West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1306","2022-06-27",2,45000,730,"5 out of 17","Carpet Area","Raheja Heights, Malad East","Mumbai","Unfurnished","Family",2,"Contact Agent"
"1307","2022-05-17",2,50000,750,"10 out of 20","Carpet Area","Hillcrest, Andheri East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1308","2022-04-29",1,18500,229,"5 out of 9","Super Area","Vile Parle","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1309","2022-06-29",2,51000,910,"10 out of 19","Carpet Area","Rivali Park, Borivali East","Mumbai","Unfurnished","Bachelors",2,"Contact Agent"
"1310","2022-06-04",4,140000,1648,"21 out of 58","Carpet Area","Sheth Auris Serinity, Malad West","Mumbai","Semi-Furnished","Bachelors/Family",5,"Contact Agent"
"1311","2022-07-09",3,80000,1100,"48 out of 54","Carpet Area","Alpine Shapoorji Pallonji, Thakur Village, Kandivali East","Mumbai","Unfurnished","Family",3,"Contact Agent"
"1313","2022-06-30",2,85000,850,"4 out of 6","Carpet Area","Andheri West","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1314","2022-06-16",1,15000,450,"2 out of 4","Super Area","Dahisar East","Mumbai","Unfurnished","Family",1,"Contact Owner"
"1315","2022-05-31",2,50000,820,"7 out of 28","Carpet Area","Raheja Heights, BMC Colony Malad East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1316","2022-05-31",2,60000,750,"10 out of 20","Carpet Area","Tridhaatu Bhaveshwar Vilas, Central Avenue Road","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1317","2022-07-07",1,23000,410,"4 out of 7","Carpet Area","Midas Enclave CHS , Nandiadwala Colony","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent"
"1318","2022-05-02",1,14500,490,"12 out of 20","Carpet Area","Ketki Pada","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1319","2022-06-30",2,40000,700,"11 out of 15","Carpet Area","Collector Colony","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1321","2022-05-23",1,80000,560,"1 out of 7","Carpet Area","Waterfield Road","Mumbai","Furnished","Bachelors/Family",1,"Contact Agent"
"1322","2022-07-07",2,55000,650,"8 out of 18","Carpet Area","White Lily Apartment, Bhandup East","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1323","2022-05-31",1,12000,520,"2 out of 3","Super Area","in Mira Road","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1324","2022-07-09",2,45000,850,"9 out of 12","Carpet Area","Eco Residency, Andheri East","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1325","2022-07-09",2,90000,777,"19 out of 22","Carpet Area","Hiranandani Castle Rock, Hiranandani Gardens","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1326","2022-07-06",2,43000,771,"15 out of 37","Carpet Area","Kalpataru Crest, Bhandup West","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1327","2022-07-07",1,22000,400,"3 out of 7","Carpet Area","Midas Enclave CHS , Nandiadwala Colony","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent"
"1328","2022-06-26",2,20000,600,"7 out of 7","Carpet Area","Marigold-5, Beverly Park","Mumbai","Furnished","Family",2,"Contact Agent"
"1329","2022-07-04",1,26000,390,"Upper Basement out of 7","Carpet Area","Greenfields CHS, Andheri East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1330","2022-06-23",4,850000,3200,"2 out of 4","Carpet Area","Breach Candy","Mumbai","Furnished","Bachelors/Family",4,"Contact Agent"
"1331","2022-06-27",1,34999,450,"5 out of 12","Carpet Area","HDIL Premier Residences, Kurla West","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1333","2022-05-13",1,50000,410,"6 out of 12","Carpet Area","Dadar East","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"1334","2022-06-03",1,16000,160,"2 out of 3","Carpet Area","Lal Baug","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1335","2022-05-14",2,55000,750,"10 out of 14","Carpet Area","Chandivali","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1336","2022-06-02",1,39000,585,"3 out of 7","Super Area","Chanchal Kalyan Complex, Yari Road","Mumbai","Unfurnished","Family",2,"Contact Agent"
"1337","2022-06-16",3,100000,1300,"12 out of 24","Carpet Area","L&T Emerald Isle, Powai","Mumbai","Semi-Furnished","Family",3,"Contact Agent"
"1338","2022-06-10",1,25000,350,"2 out of 17","Carpet Area","Ghatla","Mumbai","Furnished","Bachelors/Family",1,"Contact Owner"
"1339","2022-05-05",1,25000,490,"3 out of 7","Super Area","Kandivali East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1340","2022-07-06",2,49500,650,"5 out of 16","Carpet Area","Juhu Versova Link Road","Mumbai","Unfurnished","Family",2,"Contact Agent"
"1341","2022-06-10",1,21000,225,"6 out of 24","Carpet Area","Lower Parel","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1342","2022-06-20",2,110000,850,"5 out of 13","Carpet Area","Pali Hill","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1343","2022-07-07",1,21000,385,"Ground out of 5","Super Area","in Santacruz East","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1344","2022-07-09",2,46700,800,"2 out of 7","Carpet Area","Milap CHS, Seven Bungalows","Mumbai","Unfurnished","Family",2,"Contact Agent"
"1345","2022-06-22",4,400000,2500,"5 out of 12","Carpet Area","Bandra West","Mumbai","Furnished","Bachelors/Family",4,"Contact Agent"
"1346","2022-05-14",4,280000,1526,"76 out of 78","Carpet Area","Lodha Marquise, Worli","Mumbai","Semi-Furnished","Bachelors/Family",5,"Contact Agent"
"1347","2022-05-27",1,18000,300,"3 out of 10","Super Area","Kurla West","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1348","2022-07-06",3,80000,1800,"10 out of 13","Super Area","Sabari Palm View, Chembur","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1350","2022-05-17",3,90000,890,"20 out of 27","Carpet Area","Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road","Mumbai","Furnished","Family",2,"Contact Agent"
"1351","2022-05-18",2,38000,700,"14 out of 23","Carpet Area","Sky Villa, Gokuldham","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1352","2022-07-07",1,20000,465,"3 out of 4","Super Area","in Borivali East","Mumbai","Semi-Furnished","Bachelors",1,"Contact Owner"
"1353","2022-06-20",2,140000,900,"8 out of 36","Carpet Area","Marathon Next Gen Era, Lower Parel","Mumbai","Furnished","Family",2,"Contact Agent"
"1354","2022-05-17",3,78000,1073,"8 out of 20","Carpet Area","Raheja Ridgewood, Goregaon East","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1355","2022-05-23",1,21000,450,"4 out of 7","Super Area","Chembur","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1356","2022-06-27",3,95000,1350,"8 out of 16","Carpet Area","Rajesh Raj Classic, Yari Road","Mumbai","Furnished","Bachelors/Family",3,"Contact Agent"
"1357","2022-06-30",2,90000,800,"5 out of 8","Carpet Area","Band Stand, Bandra Band Stand","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1358","2022-06-04",2,34000,600,"4 out of 7","Carpet Area","Shiv Dham Apartment, Goregaon East","Mumbai","Unfurnished","Bachelors",2,"Contact Agent"
"1359","2022-06-30",2,55000,650,"5 out of 15","Carpet Area","Sion Trombay Road","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1360","2022-05-18",2,52000,550,"3 out of 3","Carpet Area","Dadar East","Mumbai","Furnished","Bachelors",2,"Contact Agent"
"1361","2022-06-20",1,74999,840,"8 out of 17","Carpet Area","Celestia Spaces, Balkrishna Dadu Karade Chowk","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1362","2022-05-18",3,75000,1121,"30 out of 45","Carpet Area","DB Woods, Gokuldham","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1363","2022-05-26",2,45000,650,"2 out of 12","Carpet Area","Swastik Pride, Chembur East","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1364","2022-06-16",1,22000,575,"14 out of 14","Super Area","Kanjurmarg East","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1365","2022-05-27",1,32000,475,"3 out of 4","Super Area","Andheri East","Mumbai","Furnished","Bachelors/Family",1,"Contact Owner"
"1366","2022-06-22",2,34000,830,"9 out of 21","Carpet Area","Indraprastha CHS, Bhayandar East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1367","2022-05-19",3,170000,1337,"28 out of 30","Carpet Area","Oberoi Splendor Grande, Agarkar Chowk","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1368","2022-05-13",1,23000,420,"5 out of 7","Carpet Area","Spring Leaf, Lokhandwala Twp","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1369","2022-06-21",1,20000,310,"Ground out of 7","Carpet Area","Malad West","Mumbai","Unfurnished","Bachelors",1,"Contact Agent"
"1370","2022-07-04",3,350000,1800,"2 out of 12","Carpet Area","Khar West","Mumbai","Furnished","Family",4,"Contact Agent"
"1371","2022-07-06",3,90000,967,"14 out of 33","Carpet Area","Romell Aether, Goregaon East","Mumbai","Furnished","Bachelors/Family",3,"Contact Agent"
"1372","2022-06-30",1,55000,505,"4 out of 12","Carpet Area","Godrej The Trees, Vikhroli East","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"1373","2022-06-23",1,15000,275,"3 out of 7","Super Area","Borivali East","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1374","2022-07-07",2,22000,640,"21 out of 21","Carpet Area","Mahajan Wadi","Mumbai","Semi-Furnished","Family",2,"Contact Agent"
"1375","2022-06-13",3,60000,1500,"10 out of 23","Carpet Area","Film City","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1376","2022-06-13",2,49000,850,"10 out of 23","Carpet Area","Lakshchandi Height, Goregaon East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1377","2022-05-20",2,34000,900,"12 out of 25","Carpet Area","Challenger Tower, Thakur Village, Kandivali East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1378","2022-05-18",1,24000,430,"6 out of 7","Carpet Area","Bhoomi Elegant, Thakur Complex","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1379","2022-07-07",4,270000,1649,"18 out of 29","Carpet Area","Adani Western Heights, Andheri West","Mumbai","Semi-Furnished","Family",3,"Contact Agent"
"1380","2022-05-11",3,69000,1100,"12 out of 24","Carpet Area","Chandivali","Mumbai","Unfurnished","Bachelors/Family",3,"Contact Agent"
"1382","2022-06-17",2,32000,680,"5 out of 20","Carpet Area","Galassia, Kandarpada","Mumbai","Unfurnished","Family",2,"Contact Agent"
"1383","2022-05-25",2,24000,600,"5 out of 7","Carpet Area","Charkop","Mumbai","Semi-Furnished","Bachelors",2,"Contact Owner"
"1384","2022-06-07",4,100000,1560,"12 out of 19","Carpet Area","diamond garden, Chembur","Mumbai","Unfurnished","Bachelors/Family",4,"Contact Agent"
"1385","2022-05-27",5,600000,4500,"7 out of 20","Carpet Area","Bandra West","Mumbai","Furnished","Bachelors",5,"Contact Agent"
"1386","2022-07-06",2,45000,771,"20 out of 37","Carpet Area","Kalpataru Crest, Bhandup West","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1387","2022-07-09",2,80000,800,"7 out of 22","Carpet Area","Hiranandani Castle Rock, Powai","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1388","2022-06-27",2,37000,800,"5 out of 14","Super Area","Mayuresh Srishti, Bhandup West","Mumbai","Semi-Furnished","Bachelors",2,"Contact Agent"
"1389","2022-06-16",3,210000,1425,"9 out of 35","Carpet Area","The Primordial House, Kemps Corner","Mumbai","Furnished","Bachelors",4,"Contact Agent"
"1390","2022-06-27",4,190000,1750,"5 out of 17","Carpet Area","Godrej The Trees, Pirojshah Nagar","Mumbai","Semi-Furnished","Bachelors/Family",4,"Contact Agent"
"1391","2022-05-27",1,25000,475,"11 out of 15","Carpet Area","Ghatkopar East","Mumbai","Unfurnished","Bachelors",2,"Contact Agent"
"1392","2022-07-09",4,210000,2000,"27 out of 27","Carpet Area","Vikhroli","Mumbai","Unfurnished","Bachelors",5,"Contact Agent"
"1393","2022-06-04",3,200000,1375,"15 out of 60","Carpet Area","Raheja Imperia, Worli","Mumbai","Semi-Furnished","Family",3,"Contact Agent"
"1394","2022-06-29",5,310000,2800,"19 out of 33","Carpet Area","MidCity Shikhar, Andheri West","Mumbai","Semi-Furnished","Bachelors/Family",5,"Contact Agent"
"1395","2022-05-18",1,26000,650,"1 out of 3","Super Area","Srinagarchs chembur west near sankralyammandir","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1396","2022-06-01",2,27000,600,"18 out of 20","Carpet Area","Royal Palms, Goregaon East","Mumbai","Unfurnished","Bachelors",2,"Contact Agent"
"1397","2022-04-29",1,26000,649,"3 out of 3","Super Area","Uttam Society, Chembur","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1398","2022-06-29",2,60000,950,"2 out of 8","Carpet Area","Green Woods Chkala, Andheri East","Mumbai","Furnished","Bachelors",2,"Contact Agent"
"1401","2022-07-09",1,30000,330,"13 out of 40","Carpet Area","Malad East","Mumbai","Furnished","Family",1,"Contact Agent"
"1403","2022-06-23",3,140000,1270,"15 out of 60","Carpet Area","Lodha Azzuro , Parel","Mumbai","Semi-Furnished","Bachelors",3,"Contact Agent"
"1406","2022-05-28",2,22000,670,"4 out of 12","Carpet Area","Prathamesh Heritage, Beverly Park","Mumbai","Furnished","Family",2,"Contact Agent"
"1408","2022-04-28",1,20000,265,"6 out of 7","Super Area","Mazgaon","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1409","2022-07-06",2,50000,600,"9 out of 11","Carpet Area","K Raheja Maple Leaf, Powai","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1410","2022-07-04",2,29000,670,"7 out of 7","Carpet Area","Amar Nagar","Mumbai","Unfurnished","Family",2,"Contact Owner"
"1411","2022-07-06",2,45000,650,"10 out of 18","Carpet Area","Chandivali","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1412","2022-06-02",1,6500,422,"9 out of 15","Carpet Area","Nalasopara West","Mumbai","Semi-Furnished","Family",2,"Contact Agent"
"1413","2022-06-12",2,55000,955,"8 out of 22","Carpet Area","MJ Shah Centrio, Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1415","2022-05-08",1,18500,300,"3 out of 4","Carpet Area","JL Tambe Nagar","Mumbai","Unfurnished","Bachelors",1,"Contact Owner"
"1416","2022-06-30",2,50000,900,"5 out of 17","Carpet Area","Dheeraj Valley Tower, Goregaon East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1417","2022-06-28",2,45000,785,"2 out of 7","Carpet Area","Chakala","Mumbai","Unfurnished","Bachelors",2,"Contact Agent"
"1418","2022-06-03",3,85000,1350,"20 out of 31","Carpet Area","HDIL Metropolis, 4 Bunglows","Mumbai","Furnished","Family",3,"Contact Agent"
"1419","2022-06-06",2,85000,900,"27 out of 45","Carpet Area","Ruparel Ariana, Parel","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1420","2022-06-27",1,25000,400,"18 out of 23","Carpet Area","Worli","Mumbai","Unfurnished","Bachelors",1,"Contact Agent"
"1422","2022-07-09",2,190000,895,"32 out of 46","Carpet Area","Indiabulls Blu, Worli","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1423","2022-06-27",1,20000,625,"10 out of 12","Super Area","Dahisar East","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1424","2022-06-23",2,30000,720,"5 out of 14","Carpet Area","Samarth Garden, Bhandup West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1425","2022-07-04",2,75000,750,"4 out of 13","Carpet Area","Utkarsh CHS, Prabhadevi","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1426","2022-06-08",3,350000,1663,"19 out of 85","Carpet Area","Indiabulls Blu, Worli Naka Acharaya Atre Chowk","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1428","2022-06-30",2,32000,700,"Ground out of 7","Carpet Area","MUKTA MAHEK, Thakur Complex","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1429","2022-06-23",1,22000,377,"3 out of 23","Super Area","Srishti Elegance, Bhandup West","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1430","2022-06-04",2,35000,650,"5 out of 6","Carpet Area","Thakur Complex","Mumbai","Semi-Furnished","Family",2,"Contact Agent"
"1433","2022-06-08",2,31000,700,"2 out of 8","Super Area","Sai Aasha Daya, Mulund East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1434","2022-05-12",1,60000,430,"1 out of 7","Carpet Area","Bandra West","Mumbai","Furnished","Bachelors/Family",1,"Contact Agent"
"1435","2022-06-16",2,58000,650,"15 out of 24","Carpet Area","L&T Emerald Isle, Powai","Mumbai","Unfurnished","Family",2,"Contact Agent"
"1436","2022-06-14",3,85000,890,"4 out of 27","Carpet Area","Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1437","2022-07-09",2,45000,965,"19 out of 27","Super Area","Bhakti Park","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1438","2022-07-02",1,7500,630,"3 out of 12","Super Area","Sumit Greendale, Chikhal Dongari","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1439","2022-05-14",4,250000,2100,"35 out of 60","Carpet Area","Bombay Dyeing Two ICC, Dadar East","Mumbai","Semi-Furnished","Bachelors/Family",4,"Contact Agent"
"1440","2022-07-09",3,150000,1100,"9 out of 16","Carpet Area","Badrinath Tower, Amit Nagar","Mumbai","Furnished","Family",3,"Contact Agent"
"1441","2022-06-29",2,80000,730,"4 out of 6","Carpet Area","Perry Rd","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1442","2022-05-18",3,75000,1380,"9 out of 22","Carpet Area","Thakur Jewel, Thakur Village, Kandivali East","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1443","2022-06-17",3,66000,1100,"17 out of 22","Carpet Area","Shapoorji Pallonji Vicinia, Chandivali","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1444","2022-07-09",1,45000,450,"5 out of 7","Carpet Area","Mahim West","Mumbai","Semi-Furnished","Bachelors",1,"Contact Agent"
"1445","2022-07-04",1,22000,500,"3 out of 4","Super Area","Madhugiri Society, Chembur","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1446","2022-07-09",3,65000,1100,"9 out of 20","Carpet Area","Raheja Heights, Malad East","Mumbai","Semi-Furnished","Bachelors",3,"Contact Agent"
"1448","2022-06-18",2,55000,750,"6 out of 15","Carpet Area","Omkar Meridia, Bandra Kurla Complex","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1450","2022-06-16",4,230000,2100,"21 out of 33","Carpet Area","Hiranandani Gardens Odyssey I, Hiranandani Gardens","Mumbai","Furnished","Family",5,"Contact Agent"
"1451","2022-07-06",1,22000,450,"4 out of 7","Carpet Area","Charkop Sector 6","Mumbai","Semi-Furnished","Family",2,"Contact Agent"
"1452","2022-05-31",3,170000,1600,"25 out of 52","Carpet Area","Crescent Bay Callisto, Parel","Mumbai","Semi-Furnished","Family",4,"Contact Agent"
"1453","2022-04-28",1,34000,560,"3 out of 7","Super Area","Serenity Complex","Mumbai","Semi-Furnished","Bachelors",2,"Contact Owner"
"1454","2022-06-02",1,45000,500,"2 out of 3","Carpet Area","Irla, Vile Parle West","Mumbai","Unfurnished","Bachelors",1,"Contact Agent"
"1455","2022-05-23",1,14000,305,"2 out of 24","Carpet Area","Kandivali West","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent"
"1456","2022-06-09",3,75000,970,"1 out of 3","Carpet Area","Paras Building, Sion East","Mumbai","Furnished","Bachelors/Family",2,"Contact Owner"
"1457","2022-06-04",1,7000,480,"4 out of 4","Carpet Area","Taloja Phase 2","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1458","2022-05-31",2,55000,720,"1 out of 6","Carpet Area","diamond garden, Chembur East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1459","2022-07-09",2,55000,950,"7 out of 10","Carpet Area","Valentine Apartments, Gokuldham","Mumbai","Semi-Furnished","Family",2,"Contact Agent"
"1460","2022-06-27",4,700000,3200,"24 out of 24","Carpet Area","Lady Ratan Tower, Worli","Mumbai","Furnished","Bachelors/Family",4,"Contact Agent"
"1461","2022-06-16",3,140000,1450,"18 out of 33","Carpet Area","Hiranandani Gardens Torino, Hiranandani Gardens","Mumbai","Furnished","Family",3,"Contact Agent"
"1462","2022-06-23",2,42000,774,"10 out of 20","Carpet Area","Lokhandwala Octacrest, Lokhandwala Twp","Mumbai","Semi-Furnished","Family",2,"Contact Agent"
"1463","2022-06-23",1,27000,450,"2 out of 3","Super Area","Andheri West","Mumbai","Unfurnished","Family",1,"Contact Agent"
"1464","2022-06-09",3,60000,1000,"1 out of 10","Carpet Area","Malad West","Mumbai","Semi-Furnished","Bachelors",3,"Contact Agent"
"1465","2022-06-23",1,17000,340,"1 out of 8","Super Area","Goregaon East","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1466","2022-05-26",1,30000,430,"14 out of 23","Carpet Area","Sindhi Society, Chembur","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1467","2022-05-31",2,45000,722,"4 out of 7","Carpet Area","Alpine Apartments, Chembur East","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1468","2022-06-25",3,90000,1152,"12 out of 21","Carpet Area","Kabra Metro One, Seven Bungalows","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1469","2022-04-28",1,25000,641,"3 out of 8","Super Area","Borivali West","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1470","2022-06-14",2,70000,810,"4 out of 11","Carpet Area","Vintage Pearl Apartment, Bandra West","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1471","2022-06-04",2,90000,800,"5 out of 6","Carpet Area","Vile Parle West","Mumbai","Furnished","Family",2,"Contact Agent"
"1472","2022-07-07",2,110000,875,"12 out of 14","Carpet Area","Bandra West","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1473","2022-05-04",2,20000,700,"8 out of 22","Super Area","Man Opus, Mira Road","Mumbai","Unfurnished","Family",2,"Contact Owner"
"1474","2022-06-15",1,35000,420,"Ground out of 3","Super Area","in Andheri West","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1475","2022-06-23",3,80000,1400,"1 out of 2","Carpet Area","Ghatkopar","Mumbai","Furnished","Bachelors/Family",3,"Contact Owner"
"1476","2022-05-13",2,54500,758,"12 out of 24","Carpet Area","L&T Emerald Isle, Chandivali","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1477","2022-06-07",4,350000,2880,"45 out of 60","Carpet Area","Lodha World Crest, Lower Parel","Mumbai","Unfurnished","Bachelors",5,"Contact Agent"
"1478","2022-06-20",1,45000,480,"7 out of 7","Carpet Area","Seven Bungalows","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent"
"1480","2022-07-07",2,90000,900,"60 out of 71","Carpet Area","Lodha Venezia, Parel","Mumbai","Semi-Furnished","Bachelors",2,"Contact Agent"
"1481","2022-05-27",1,22000,400,"8 out of 22","Super Area","Bhoiwada","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1482","2022-07-09",2,70000,760,"9 out of 22","Carpet Area","L&T Emerald Isle, Powai","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1483","2022-06-07",4,380000,2800,"36 out of 81","Carpet Area","World One Tower Mumbai, Worli","Mumbai","Unfurnished","Bachelors",5,"Contact Agent"
